"","1_the_astral","2_astral_light","3_kabbalistic_tarot","4_magnetic_sleep","5_seance","6_progression","Other_1","Other_2","Other_3","Other_4","Other_5","Other_6"
"1","cardinal.point","ether","tarot.kabbalah","animal.magnetism","manifestation","monad","animal.kingdom","human.race","great.work","same.time","new.testament","golden.dawn"
"2","sacred.name","astral.light","other.hand","human.being","sitting","human.being","manifestation","primitive.history","astral.light","astral.light","karma","vishnu.purâna"
"3","astral.body","modern.science","point.of.view","magnetic.state","animal.magnetism","progress","solar.system","divine.mind","progress","black.magic","old.testament","kali.yuga"
"4","four.element","manifestation","fabre.d.olivet","magnetic.sleep","good.spirit","progression","divine.mind","present.day","philosophical.stone","great.work","card.of.the.tarot","second.order"
"5","same.time","man.of.science","one.hand","same.time","year.of.age","incarnation","vegetable.kingdom","progress","law.of.nature","great.arcanum","word.of.god","human.being"
"6","four.cardinal.point","solar.system","first.time","nervous.system","one.day","karma","positive.mind","inhabitant.of.the.earth","black.magic","adam.kadmon","primitive.history","divine.name"
"7","astral.light","physical.science","one.side","state.of.somnambulism","evil.spirit","manifestation","higher.sphere","portion.of.the.earth","whole.world","holy.spirit","first.card","editorial.note"
"8","roman.catholic","occult.science","left.hand","magnetic.influence","same.time","dhyân.chohan","outer.world","human.mind","hebrew.alphabet","great.secret","long.period","own.effort"
"9","christian.church","mode.of.motion","kabbalistic.alphabet","one.day","spiritual.world","esoteric.philosophy","perfect.form","new.testament","universal.medicine","catholic.church","divine.origin","book.of.number"
"10","ain.suph","nervous.ether","two.figure","human.body","material.body","secret.doctrine","human.form","present.time","own.day","incarnation","great.deal","day.of.brahmâ"
"11","astral.plane","other.word","magical.arcanum","dark.spirit","progress","same.time","great.positive.mind","whole.world","occult.science","secret.doctrine","divine.mind","tree.of.life"
"12","mundane.egg","cosmic.matter","pure.spirit","seven.day","long.time","human.race","animal.creation","thousand.year","one.hand","universal.agent","kali.yuga","other.member"
"13","garden.of.eden","four.element","pillars.of.the.temple","other.people","old.man","human.soul","human.mind","other.portion","high.priest","magical.work","manifestation","cromlech.temple"
"14","adam.kadmon","nebular.theory","two.pillars","somnambulic.state","few.day","physical.body","higher.degree","high.degree","occult.philosophy","absolute.science","divine.name","human.race"
"15","brazen.serpent","esoteric.doctrine","great.magical.arcanum","magnetic.operation","three.year","physical.life","second.sphere","nineteenth.century","elementary.spirit","occult.sciences","divine.revelation","colonel.wilford"
"16","manifestation","physical.force","human.being","magnetic.somnambulism","first.volume","reincarnation","portion.of.the.earth","various.portion","universal.science","middle.age","first.point","christian.era"
"17","state.of.coma","ponderable.matter","one.way","human.life","young.man","one.life","new.form","other.nation","st.john","sacred.book","possible.use","seven.time"
"18","astral","dhyân.chohan","black.magic","same.manner","same.thing","esoteric.buddhism","first.cause","social.condition","same.time","free.will","human.being","chaldean.book"
"19","occult.force","holy.ghost","three.worlds","free.will","young.girl","higher.self","particle.of.matter","subsequent.generation","one.day","one.god","same.way","son.of.god"
